Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
72,-100.01,-106.9218054497932,1,2.8472222222222223,0,0.0,,,,,,,,,
73,-114.71703759656508,-107.02858945180377,4,2.863013698630137,0,0.0,,,,,,,,,
74,-100.01,-106.93374364840102,1,2.8378378378378377,0,0.0,,,,,,,,,
75,-100.01,-106.84142706642234,1,2.8133333333333335,0,0.0,,,,,,,,,
76,-99.66493586724759,-106.74699955064372,4,2.8289473684210527,0,0.0,,,,,,,,,
77,-99.6662276365031,-106.6550414738367,4,2.844155844155844,0,0.0,,,,,,,,,
78,-100.01,-106.56984863442855,1,2.8205128205128207,0,0.0,,,,,,,,,
79,-100.01,-106.4868125757649,1,2.7974683544303796,0,0.0,,,,,,,,,
80,-100.01,-106.40585241856783,1,2.775,0,0.0,,,,,,,,,
81,-157.36488062335258,-107.03497622356518,8,2.8395061728395063,0,0.0,,,,,,,,,
82,-100.01,-106.94930578181439,1,2.817073170731707,0,0.0,,,,,,,,,
83,-99.50752837146901,-106.85964581301504,5,2.8433734939759034,0,0.0,,,,,,,,,
84,-114.51123106512252,-106.95073611363536,5,2.869047619047619,0,0.0,,,,,,,,,
85,-99.92004729553813,-106.8680221275401,2,2.8588235294117648,0,0.0,,,,,,,,,
86,-99.92101017279434,-106.787242918764,2,2.8488372093023258,0,0.0,,,,,,,,,
87,-99.92009115756241,-106.70831013989961,2,2.839080459770115,0,0.0,,,,,,,,,
88,-99.96907877243478,-106.63172796526929,2,2.8295454545454546,0,0.0,,,,,,,,,
89,-157.41545315669396,-107.20233161910554,8,2.8876404494382024,0,0.0,,,,,,,,,
90,-100.01,-107.1224168233377,1,2.8666666666666667,0,0.0,,,,,,,,,
91,-100.01,-107.04425839670762,1,2.8461538461538463,0,0.0,,,,,,,,,
92,-99.67098854425703,-106.964114159181,4,2.858695652173913,0,0.0,,,,,,,,,
93,-142.51981913069463,-107.34643356747684,7,2.903225806451613,0,0.0,,,,,,,,,
94,-114.63159947727826,-107.42393533247473,3,2.904255319148936,0,0.0,,,,,,,,,
95,-100.01,-107.34589390792236,1,2.8842105263157896,0,0.0,,,,,,,,,
96,-100.01,-107.26947834638149,1,2.8645833333333335,0,0.0,,,,,,,,,
97,-142.86066606275745,-107.63639780737505,4,2.8762886597938144,0,0.0,,,,,,,,,
98,-99.92042092105301,-107.55766334935136,2,2.86734693877551,0,0.0,,,,,,,,,
99,-128.80640569044138,-107.77229711037248,3,2.8686868686868685,0,0.0,,,,,,,,,
100,-128.80525165005645,-107.98262665576931,3,2.87,0,0.0,,,,,,,,,
101,-99.92042092105301,-107.98377260492613,2,2.86,0,0.0,,,,,,,,,
102,-199.0311016770201,-108.98080278401714,8,2.89,0,0.0,,,,,,,,,
103,-98.88135455449829,-108.10690843264463,6,2.79,0,0.0,,,,,,,,,
104,-100.01,-108.10690843264464,1,2.79,0,0.0,,,,,,,,,
105,-99.91815875570708,-108.10599002020172,2,2.8,0,0.0,,,,,,,,,
106,-99.66666173024537,-108.10345542052926,4,2.82,0,0.0,,,,,,,,,
107,-99.91855430449688,-106.98139364897872,2,2.74,0,0.0,,,,,,,,,
108,-99.91903889187473,-106.98048403789748,2,2.75,0,0.0,,,,,,,,,
109,-100.01,-106.98048403789748,1,2.75,0,0.0,,,,,,,,,
110,-99.91945862998166,-106.98223812363715,2,2.75,0,0.0,,,,,,,,,
111,-169.7604425307759,-107.73652775682645,6,2.76,0,0.0,,,,,,,,,
112,-99.67159821174992,-107.73314373894397,4,2.79,0,0.0,,,,,,,,,
113,-99.80656481537751,-107.73110938709773,3,2.81,0,0.0,,,,,,,,,
114,-99.92102696530075,-107.73225807222117,2,2.8,0,0.0,,,,,,,,,
115,-99.92032962248378,-107.44645835544563,2,2.78,0,0.0,,,,,,,,,
116,-99.92096952961988,-107.44556805074184,2,2.79,0,0.0,,,,,,,,,
117,-98.07777914289919,-107.42624584217083,7,2.85,0,0.0,,,,,,,,,
118,-97.86146070855558,-107.40565762469052,4,2.87,0,0.0,,,,,,,,,
119,-114.50823154750779,-107.55063994016558,5,2.91,0,0.0,,,,,,,,,
120,-100.01,-107.5110162414091,1,2.83,0,0.0,,,,,,,,,
121,-99.91938114267711,-107.51011005283586,2,2.84,0,0.0,,,,,,,,,
122,-114.65708911342043,-107.65658094397004,4,2.87,0,0.0,,,,,,,,,
123,-99.80853964623117,-107.67460842486585,3,2.87,0,0.0,,,,,,,,,
124,-95.4759391552578,-107.48191687942679,7,2.92,0,0.0,,,,,,,,,
125,-99.67159821174992,-107.33231347095189,4,2.93,0,0.0,,,,,,,,,
126,-114.62815754486957,-107.47940769781039,3,2.94,0,0.0,,,,,,,,,
127,-100.01,-107.48032215476542,1,2.93,0,0.0,,,,,,,,,
128,-99.92068402038421,-107.53153374788934,2,2.89,0,0.0,,,,,,,,,
129,-99.9202824565877,-107.53063657245521,2,2.9,0,0.0,,,,,,,,,
130,-114.62969472361638,-107.67774364139461,3,2.91,0,0.0,,,,,,,,,
131,-100.01,-107.67865494768012,1,2.9,0,0.0,,,,,,,,,
132,-99.66850637160519,-107.67524001139618,4,2.93,0,0.0,,,,,,,,,
133,-99.91939742818712,-106.9797865577837,2,2.86,0,0.0,,,,,,,,,
134,-114.7440036438194,-107.12915349276057,2,2.85,0,0.0,,,,,,,,,
135,-143.17544846239815,-107.56417988330512,7,2.88,0,0.0,,,,,,,,,
136,-98.17722605087698,-107.5487418741609,6,2.92,0,0.0,,,,,,,,,
137,-100.01,-107.40169408616799,1,2.89,0,0.0,,,,,,,,,
138,-100.01,-107.401694086168,1,2.89,0,0.0,,,,,,,,,
139,-98.59520867071124,-107.24043123130565,4,2.89,0,0.0,,,,,,,,,
140,-142.58139661230425,-107.66614519742869,4,2.92,0,0.0,,,,,,,,,
141,-140.26974290876598,-108.07078436646263,7,2.96,0,0.0,,,,,,,,,
142,-100.01,-108.07078436646263,1,2.96,0,0.0,,,,,,,,,
143,-98.5413882147903,-108.05814863362399,6,2.99,0,0.0,,,,,,,,,
144,-99.62762638219078,-108.131131722346,3,2.92,0,0.0,,,,,,,,,
145,-141.76788831484197,-108.54871060549442,8,2.99,0,0.0,,,,,,,,,
146,-110.89782913252556,-108.65758889681968,7,3.05,0,0.0,,,,,,,,,
147,-99.92079973863913,-108.55784072706292,2,3.04,0,0.0,,,,,,,,,
148,-99.92046450179231,-108.55694537208085,2,3.05,0,0.0,,,,,,,,,
149,-99.92009115756241,-108.55810159482945,2,3.04,0,0.0,,,,,,,,,
150,-99.9196863733996,-108.55810268013602,2,3.04,0,0.0,,,,,,,,,
151,-100.01,-108.55810268013603,1,3.04,0,0.0,,,,,,,,,
152,-128.30373420174317,-108.84193134103562,7,3.09,0,0.0,,,,,,,,,
153,-114.62912411199706,-108.99014016746852,3,3.09,0,0.0,,,,,,,,,
154,-211.98788689926704,-110.11081621189531,20,3.27,0,0.0,,,,,,,,,
155,-100.01,-110.11081621189531,1,3.27,0,0.0,,,,,,,,,
156,-205.13732556419552,-111.16299129744436,9,3.34,0,0.0,,,,,,,,,
157,-100.01,-111.16299129744435,1,3.34,0,0.0,,,,,,,,,
158,-100.01,-110.876081070487,1,3.32,0,0.0,,,,,,,,,
159,-99.85608226333565,-110.73540123356557,3,3.32,0,0.0,,,,,,,,,
160,-128.90277862243408,-111.02722810821429,6,3.36,0,0.0,,,,,,,,,
161,-368.41214050345127,-113.71124951324879,31,3.66,0,0.0,,,,,,,,,
162,-99.91945862998166,-113.71190077654684,2,3.65,0,0.0,,,,,,,,,
163,-97.30024596483888,-113.68819977014473,6,3.67,0,0.0,,,,,,,,,
164,-99.92101017279434,-113.53996141237887,2,3.67,0,0.0,,,,,,,,,
165,-100.01,-113.53996141237887,1,3.67,0,0.0,,,,,,,,,
166,-100.01,-113.53996141237889,1,3.67,0,0.0,,,,,,,,,
167,-100.01,-113.11802806499153,1,3.62,0,0.0,,,,,,,,,
168,-171.23013711009042,-113.28287110871729,8,3.62,0,0.0,,,,,,,,,
169,-99.66094886286383,-113.28144244638165,5,3.64,0,0.0,,,,,,,,,
170,-94.61126251474104,-113.22836031131908,9,3.71,0,0.0,,,,,,,,,
171,-95.62368243232767,-113.18449713564236,8,3.78,0,0.0,,,,,,,,,
172,-97.79437149534292,-113.16234085059581,6,3.83,0,0.0,,,,,,,,,
173,-109.8147990652723,-113.11331846528289,4,3.83,0,0.0,,,,,,,,,
174,-99.91938114267711,-113.11241227670966,2,3.84,0,0.0,,,,,,,,,
175,-99.80795631659994,-113.11039183987563,3,3.86,0,0.0,,,,,,,,,
176,-100.01,-113.11384248120315,1,3.83,0,0.0,,,,,,,,,
177,-128.21234344803963,-113.39930363931853,6,3.85,0,0.0,,,,,,,,,
178,-128.34365376951848,-113.6826401770137,5,3.89,0,0.0,,,,,,,,,
179,-99.80683134402885,-113.68060849045399,3,3.91,0,0.0,,,,,,,,,
180,-99.97170699754129,-113.68022556042939,2,3.92,0,0.0,,,,,,,,,
181,-156.51127620587363,-113.67168951625463,6,3.9,0,0.0,,,,,,,,,
182,-128.59169473952616,-113.95750646364988,4,3.93,0,0.0,,,,,,,,,
183,-99.66732429164766,-113.95910442285167,4,3.92,0,0.0,,,,,,,,,
184,-138.38515428365602,-114.19784365503699,6,3.93,0,0.0,,,,,,,,,
185,-157.45001936032426,-114.77314337568482,8,3.99,0,0.0,,,,,,,,,
186,-98.58869594113763,-114.75982023336829,4,4.01,0,0.0,,,,,,,,,
187,-99.92032962248378,-114.75982261801751,2,4.01,0,0.0,,,,,,,,,
188,-100.01,-114.76023183029316,1,4.0,0,0.0,,,,,,,,,
189,-99.6672065759542,-114.18274936448577,4,3.96,0,0.0,,,,,,,,,
190,-99.58673346874043,-114.17851669917317,4,3.99,0,0.0,,,,,,,,,
191,-94.42171387700049,-114.12263383794316,9,4.07,0,0.0,,,,,,,,,
192,-91.59297162439594,-114.04185366874454,13,4.16,0,0.0,,,,,,,,,
193,-99.80710498450637,-113.61472652728266,3,4.12,0,0.0,,,,,,,,,
194,-99.92045512145897,-113.46761508372445,2,4.11,0,0.0,,,,,,,,,
195,-98.91338040523655,-113.45664888777682,6,4.16,0,0.0,,,,,,,,,
196,-143.2195481487845,-113.88874436926467,7,4.22,0,0.0,,,,,,,,,
197,-99.8553524454698,-113.45869123309181,3,4.21,0,0.0,,,,,,,,,
198,-99.76222042897474,-113.45710922817103,4,4.23,0,0.0,,,,,,,,,
199,-99.6652953348414,-113.16569812461505,4,4.24,0,0.0,,,,,,,,,
200,-99.80315601365595,-112.875677168251,3,4.24,0,0.0,,,,,,,,,
201,-99.8059159945113,-112.87453211898561,3,4.25,0,0.0,,,,,,,,,
202,-99.6709041355408,-111.88093014357082,4,4.21,0,0.0,,,,,,,,,
203,-143.21088455020814,-112.32422544352792,7,4.22,0,0.0,,,,,,,,,
204,-100.01,-112.32422544352791,1,4.22,0,0.0,,,,,,,,,
205,-114.85378247373858,-112.47358168070821,3,4.23,0,0.0,,,,,,,,,
206,-128.59554049839508,-112.7628704683897,4,4.23,0,0.0,,,,,,,,,
207,-100.01,-112.76378492534475,1,4.22,0,0.0,,,,,,,,,
208,-97.84890912579803,-112.74308362768397,7,4.27,0,0.0,,,,,,,,,
209,-143.19768943418424,-113.17496052202583,7,4.33,0,0.0,,,,,,,,,
210,-99.66412995546852,-113.1724072352807,4,4.35,0,0.0,,,,,,,,,
211,-99.91978265685627,-112.47400063654149,2,4.31,0,0.0,,,,,,,,,
212,-99.80683134402885,-112.4753529678643,3,4.3,0,0.0,,,,,,,,,
213,-310.2983001150365,-114.58027032086088,21,4.48,0,0.0,,,,,,,,,
214,-94.65420846065663,-114.52760213581445,11,4.57,0,0.0,,,,,,,,,
215,-99.66314555271941,-114.52503029511679,4,4.59,0,0.0,,,,,,,,,
216,-99.91957784274477,-114.52501637824805,2,4.59,0,0.0,,,,,,,,,
217,-106.31276553574482,-114.60736624217651,17,4.69,0,0.0,,,,,,,,,
