Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
52,-100.01,-108.34373111615552,1,2.769230769230769,0,0.0,,0.0,0.0,,,0.0,,,
53,-100.01,-108.18649090641675,1,2.7358490566037736,0,0.0,,0.0,0.0,,,0.0,,,
54,-94.3820909052283,-107.9308538693577,9,2.8518518518518516,0,0.0,,0.0,0.0,,,0.0,,,
55,-99.92001932018582,-107.78520233210003,2,2.8363636363636364,0,0.0,,0.0,0.0,,,0.0,,,
56,-99.80840809343049,-107.64275957783805,3,2.8392857142857144,0,0.0,,0.0,0.0,,,0.0,,,
57,-99.92086811178521,-107.50728779773185,2,2.824561403508772,0,0.0,,0.0,0.0,,,0.0,,,
58,-100.01,-107.37802421501235,1,2.793103448275862,0,0.0,,0.0,0.0,,,0.0,,,
59,-99.80582600537153,-107.24968187247606,3,2.7966101694915255,0,0.0,,0.0,0.0,,,0.0,,,
60,-100.01,-107.12902050793478,1,2.7666666666666666,0,0.0,,0.0,0.0,,,0.0,,,
61,-100.01,-107.01231525370635,1,2.737704918032787,0,0.0,,0.0,0.0,,,0.0,,,
62,-100.01,-106.8993746850982,1,2.7096774193548385,0,0.0,,0.0,0.0,,,0.0,,,
63,-97.81047185950575,-106.75510638627927,4,2.7301587301587302,0,0.0,,0.0,0.0,,,0.0,,,
64,-100.01,-106.64971409899366,1,2.703125,0,0.0,,0.0,0.0,,,0.0,,,
65,-100.01,-106.54756465131683,1,2.6769230769230767,0,0.0,,0.0,0.0,,,0.0,,,
66,-100.01,-106.4485106414484,1,2.6515151515151514,0,0.0,,0.0,0.0,,,0.0,,,
67,-99.91945862998166,-106.35106210396383,2,2.6417910447761193,0,0.0,,0.0,0.0,,,0.0,,,
68,-128.86857726765962,-106.6822020328417,6,2.6911764705882355,0,0.0,,0.0,0.0,,,0.0,,,
69,-100.01,-106.5855034526556,1,2.6666666666666665,0,0.0,,0.0,0.0,,,0.0,,,
70,-128.89634070706498,-106.90422969914717,6,2.7142857142857144,0,0.0,,0.0,0.0,,,0.0,,,
71,-100.01,-106.80712787239861,1,2.6901408450704225,0,0.0,,0.0,0.0,,,0.0,,,
72,-100.01,-106.71272331861528,1,2.6666666666666665,0,0.0,,0.0,0.0,,,0.0,,,
73,-100.01,-106.62090519096301,1,2.643835616438356,0,0.0,,,,,,,,,
74,-114.97070028258149,-106.73374025976868,2,2.635135135135135,0,0.0,,-0.03562790983253055,4485.378363715277,,,1.0374447504679363,,,
75,-100.01,-106.64409038963844,1,2.6133333333333333,0,0.0,,0.0,0.0,,,0.0,,,
76,-99.80871983389282,-106.55415130337862,3,2.6184210526315788,0,0.0,,0.0,0.0,,,0.0,,,
77,-114.85315601365595,-106.66193058533025,3,2.6233766233766236,0,0.0,,0.0,0.0,,,0.0,,,
78,-114.62837921192029,-106.76406454208143,3,2.628205128205128,0,0.0,,0.0,0.0,,,0.0,,,
79,-99.91947602099624,-106.67742418105503,2,2.6202531645569622,0,0.0,,0.0,0.0,,,0.0,,,
80,-99.9189878296769,-106.5929437266628,2,2.6125,0,0.0,,0.0,0.0,,,0.0,,,
81,-99.92042092105301,-106.51056690190218,2,2.6049382716049383,0,0.0,,0.0,0.0,,,0.0,,,
82,-91.31615282348801,-106.3252691692386,7,2.658536585365854,0,0.0,,0.0,0.0,,,0.0,,,
83,-100.01,-106.24918158888633,1,2.63855421686747,0,0.0,,0.0,0.0,,,0.0,,,
84,-99.67429526597456,-106.1709091326612,4,2.6547619047619047,0,0.0,,0.0,0.0,,,0.0,,,
85,-99.49419200667313,-106.09235951941429,4,2.6705882352941175,0,0.0,,0.0,0.0,,,0.0,,,
86,-100.01,-106.02163440872343,1,2.6511627906976742,0,0.0,,0.0,0.0,,,0.0,,,
87,-100.01,-105.95253516264614,1,2.632183908045977,0,0.0,,0.0,0.0,,,0.0,,,
88,-100.01,-105.88500635397969,1,2.6136363636363638,0,0.0,,0.0,0.0,,,0.0,,,
89,-99.92009679047928,-105.81798489821003,2,2.606741573033708,0,0.0,,0.0,0.0,,,0.0,,,
90,-99.80703752886787,-105.75119659410623,3,2.611111111111111,0,0.0,,0.0,0.0,,,0.0,,,
91,-100.01,-105.68810652164353,1,2.5934065934065935,0,0.0,,0.0,0.0,,,0.0,,,
92,-95.1559280863652,-105.57362632126008,10,2.6739130434782608,0,0.0,,0.0,0.0,,,0.0,,,
93,-99.91905603748356,-105.51282449025172,2,2.6666666666666665,0,0.0,,0.0,0.0,,,0.0,,,
94,-144.42720871033907,-105.92680730110372,7,2.7127659574468086,0,0.0,,0.0,0.0,,,0.0,,,
95,-99.80620548482639,-105.86237991356397,3,2.7157894736842105,0,0.0,,,,,,,,,
96,-100.01,-105.80141762279764,1,2.6979166666666665,0,0.0,,,,,,,,,
97,-99.91960181823018,-105.74078034646189,2,2.6907216494845363,0,0.0,,-0.0038726175617840555,4296.259087456598,,,1.0373934242460463,,,
98,-100.01,-105.6823029959878,1,2.673469387755102,0,0.0,,0.0,0.0,,,0.0,,,
99,-127.78638456912276,-105.90557654723158,4,2.686868686868687,0,0.0,,0.0,0.0,,,0.0,,,
100,-93.95643154849247,-105.7860850972442,8,2.74,0,0.0,,0.0,0.0,,,0.0,,,
101,-100.01,-105.7860850972442,1,2.74,0,0.0,,0.0,0.0,,,0.0,,,
102,-100.01,-105.7860850972442,1,2.74,0,0.0,,0.0,0.0,,,0.0,,,
103,-100.01,-105.79873690353828,1,2.72,0,0.0,,0.0,0.0,,,0.0,,,
104,-100.01,-105.8013884100666,1,2.71,0,0.0,,0.0,0.0,,,0.0,,,
105,-99.80542207438721,-105.79934263081046,3,2.73,0,0.0,,0.0,0.0,,,0.0,,,
