Episodio,Recompensa_Episodio,Pasos_Episodio,Pasos_Totales,Recompensa_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
411,29.90381809251933,24,23498,-631.0520439018893,0,0.71,,,,,,,,,
412,112.3206021954288,49,23547,-622.7321130931253,1,0.72,,,,,,,,,
413,-263.3952250755548,23,23570,-630.2221529827978,0,0.7,,,,,,,,,
414,608.7909277870822,41,23611,-622.0413586248939,2,0.72,,,,,,,,,
415,0.8846725044557644,36,23647,-622.5725216969845,1,0.73,,,,,,,,,
416,-241.23041715695854,17,23664,-622.8002881376486,0,0.73,,,,,,,,,
417,259.6203245826209,24,23688,-619.2039848918223,1,0.74,,,,,,,,,
418,-100.01,1,23689,-617.7908305857221,0,0.74,,,,,,,,,
419,371.55339090528855,90,23779,-612.9255477995273,1,0.75,,,,,,,,,
420,-206.75819719396532,13,23792,-612.5028502937316,0,0.75,,,,,,,,,
421,-100.01,1,23793,-428.4452845000675,0,0.73,,,,,,,,,
422,-182.9232536410462,21,23814,-428.64286863814704,0,0.73,,,,,,,,,
423,1293.8799452143958,154,23968,-420.52008918128166,5,0.77,,,,,,,,,
424,78.783042338018,23,23991,-419.18654120376385,0,0.77,,,,,,,,,
425,141.3067677068347,27,24018,-420.1877275681312,0,0.76,,,,,,,,,
426,-159.4136695361239,60,24078,-426.1473655917894,1,0.76,,,,,,,,,
427,103.13472095751546,123,24201,-424.25942934819204,0,0.76,,,,,,,,,
428,-228.9939296024965,14,24215,-426.1935081860345,0,0.76,,,,,,,,,
429,-99.9708568132518,2,24217,-424.7109785381015,0,0.76,,,,,,,,,
430,-245.36829215290356,23,24240,-435.38325532909187,0,0.73,,,,,,,,,
431,-79.79234097132264,16,24256,-438.96142745192543,0,0.73,,,,,,,,,
432,516.1497308594539,48,24304,-434.1758704576581,3,0.76,,,,,,,,,
433,-26.87746508589892,32,24336,-433.4445451085171,1,0.77,,,,,,,,,
434,668.84424040513,27,24363,-421.54029398788794,3,0.8,,,,,,,,,
435,211.35515801554857,30,24393,-427.7198534909879,0,0.78,,,,,,,,,
436,228.73807249847277,51,24444,-428.8445134207907,2,0.79,,,,,,,,,
437,-100.01,1,24445,-428.84451342079075,0,0.79,,,,,,,,,
438,385.6596358550092,45,24490,-426.22531099657556,3,0.81,,,,,,,,,
439,-238.4673154284764,20,24510,-430.36626807049913,0,0.81,,,,,,,,,
440,-329.8378370403854,25,24535,-433.83506921944996,0,0.81,,,,,,,,,
441,530.9863510150689,91,24626,-428.8492749509949,3,0.84,,,,,,,,,
442,124.17214547074862,35,24661,-425.8112005745531,2,0.86,,,,,,,,,
443,369.3301629450613,73,24734,-419.6582058067651,1,0.87,,,,,,,,,
444,-57.593940757109976,15,24749,-419.26686360666395,0,0.86,,,,,,,,,
445,336.4412221996108,35,24784,-414.9023513846678,0,0.86,,,,,,,,,
446,-77.927430561473,21,24805,-415.2753194802985,1,0.86,,,,,,,,,
447,1414.7005328926546,78,24883,-400.1716373867145,3,0.89,,,,,,,,,
448,-83.85289194934319,36,24919,-399.64872793896006,1,0.9,,,,,,,,,
449,-273.55750994020514,22,24941,-401.42713937637217,0,0.9,,,,,,,,,
450,-99.9709695296199,2,24943,-401.65794852509543,0,0.9,,,,,,,,,
451,-263.01392439404793,25,24968,-405.4678052333176,0,0.87,,,,,,,,,
452,582.1505997518956,58,25026,-396.44899928932585,2,0.89,,,,,,,,,
453,-3.5331857715827795,23,25049,-394.34433192655274,1,0.9,,,,,,,,,
454,348.24820405611763,48,25097,-394.93548146325594,2,0.91,,,,,,,,,
455,-100.01,1,25098,-398.10121946779776,0,0.9,,,,,,,,,
456,-99.9689878296769,2,25100,-398.56729639521683,0,0.89,,,,,,,,,
457,150.5936590935603,41,25141,-394.9294052226805,1,0.9,,,,,,,,,
458,-100.01,1,25142,-402.67861053490486,0,0.89,,,,,,,,,
459,-26.90137740181838,20,25162,-400.5232876428044,0,0.89,,,,,,,,,
460,-100.01,1,25163,-403.23752635957595,0,0.87,,,,,,,,,
461,-20.634652968853104,21,25184,-204.02668525749917,0,0.87,,,,,,,,,
462,654.363724665154,110,25294,-200.35492572380306,2,0.89,,,,,,,,,
463,-253.11844422712846,16,25310,-209.4799900284647,0,0.88,,,,,,,,,
464,769.3224315746835,76,25386,-201.39637812100398,3,0.9,,,,,,,,,
465,31.76689686818206,45,25431,-196.12323787322478,0,0.9,,,,,,,,,
466,-261.2613430776157,24,25455,-198.02669759236346,0,0.89,,,,,,,,,
467,-135.45988735141225,29,25484,-199.89454259189708,1,0.89,,,,,,,,,
468,210.85894705977353,46,25530,-195.42112569583324,2,0.91,,,,,,,,,
469,552.4354608306611,107,25637,-190.22295753199728,2,0.93,,,,,,,,,
470,-99.96815875570708,2,25639,-190.48394024441623,0,0.93,,,,,,,,,
471,532.1001126485877,38,25677,-177.4245288692201,2,0.94,,,,,,,,,
472,-821.6832037106385,111,25788,-183.57266693545466,0,0.94,,,,,,,,,
473,-100.01,1,25789,-185.7353532633666,0,0.92,,,,,,,,,
474,493.30117060180396,43,25832,-175.01739082463976,3,0.95,,,,,,,,,
475,-80.87921959879729,25,25857,-175.45168890159218,1,0.95,,,,,,,,,
476,-99.96957784274477,2,25859,-30.282238965275273,0,0.86,,,,,,,,,
477,339.3181405677915,39,25898,-27.67688798297755,1,0.87,,,,,,,,,
478,-43.6023320039265,34,25932,-29.975028335431972,0,0.86,,,,,,,,,
479,-83.54940846096724,17,25949,-28.49622316324364,1,0.87,,,,,,,,,
480,-100.01,1,25950,-33.33541788073675,0,0.85,,,,,,,,,
481,76.89220726038259,30,25980,-31.263855406296642,0,0.85,,,,,,,,,
482,-267.2169783092857,16,25996,-32.93592518938949,0,0.85,,,,,,,,,
483,-296.85511266208687,32,26028,-34.14757665545335,0,0.85,,,,,,,,,
484,-78.23159912744848,24,26052,-40.54926872548301,0,0.83,,,,,,,,,
485,-89.95203953067698,11,26063,-41.25830419002694,0,0.82,,,,,,,,,
486,-12.374600030828844,45,26108,-42.460782587233595,0,0.8,,,,,,,,,
487,-100.01,1,26109,-48.263182798989384,0,0.79,,,,,,,,,
488,-250.94823298925536,18,26127,-48.4058561925923,0,0.79,,,,,,,,,
489,1076.9569639072138,86,26213,-38.47568137179342,3,0.82,,,,,,,,,
490,285.54279528219956,88,26301,-35.889541754637456,3,0.85,,,,,,,,,
491,-100.01,1,26302,-39.1828139033887,0,0.83,,,,,,,,,
492,80.33898816423631,29,26331,-37.379324021746356,1,0.84,,,,,,,,,
493,-100.01,1,26332,-37.24858390809735,0,0.84,,,,,,,,,
494,-100.01,1,26333,-38.43966494334523,0,0.83,,,,,,,,,
495,-100.01,1,26334,-50.196825286453915,0,0.8,,,,,,,,,
496,332.3431880130756,50,26384,-44.32670270377997,1,0.81,,,,,,,,,
497,-258.7612984160444,23,26407,-52.26349352610912,0,0.78,,,,,,,,,
498,-18829.330233725974,2000,28407,-243.68537767533883,1,0.77,,,,,,,,,
499,706.413457098533,53,28460,-234.0863301666898,3,0.8,,,,,,,,,
500,-43.6023320039265,34,28494,-96.79800287102086,0,0.8,,,,,,,,,
501,-23.05302554966201,36,28530,-96.02843312651748,0,0.8,,,,,,,,,
502,960.6051643943097,68,28598,-85.7992340107752,4,0.84,,,,,,,,,
503,294.8791703212983,35,28633,-89.0461499913828,2,0.85,,,,,,,,,
504,284.09371535360106,40,28673,-85.49583034705489,1,0.86,,,,,,,,,
505,90.42347976969835,129,28802,-87.3954763997081,3,0.87,,,,,,,,,
506,-42.956964037954585,39,28841,-87.40647894735906,0,0.86,,,,,,,,,
507,460.98205132886596,32,28873,-87.41330377276554,2,0.87,,,,,,,,,
508,-53.01204894062629,30,28903,-90.142938187607,0,0.87,,,,,,,,,
509,-46.423008720495396,23,28926,-99.2995156336576,0,0.83,,,,,,,,,
510,-156.93093314555264,10,28936,-98.38767659968327,0,0.83,,,,,,,,,
511,-17.438458167908195,25,28961,-98.86109936228759,0,0.83,,,,,,,,,
512,73.35690157363995,23,28984,-99.25073636850544,0,0.82,,,,,,,,,
513,-578.193490760764,86,29070,-102.39871902535756,0,0.82,,,,,,,,,
514,-86.54989742556776,29,29099,-109.35212727748403,0,0.8,,,,,,,,,
515,-254.45324257830157,24,29123,-111.90550642831164,0,0.79,,,,,,,,,
516,-249.0279477735292,24,29147,-111.9834817344773,0,0.79,,,,,,,,,
517,-224.60738537120017,30,29177,-116.82575883401555,0,0.78,,,,,,,,,
518,-207.4063137084014,15,29192,-117.89972197109955,0,0.78,,,,,,,,,
519,159.06699537641492,49,29241,-120.02458592638827,2,0.79,,,,,,,,,
520,-90.38303458934236,9,29250,-118.86083430034206,0,0.79,,,,,,,,,
521,-241.1790150286377,15,29265,-120.27252445062841,0,0.79,,,,,,,,,
522,357.96651613669525,70,29335,-114.86362675285099,1,0.8,,,,,,,,,
523,413.20666404748636,68,29403,-123.6703595645201,1,0.76,,,,,,,,,
524,789.393409509554,61,29464,-116.56425589280478,2,0.78,,,,,,,,,
525,79.54941498982326,33,29497,-117.18182941997483,0,0.78,,,,,,,,,
526,-238.5482412014684,23,29520,-117.9731751366283,0,0.77,,,,,,,,,
527,-53.39905571779087,15,29535,-119.53851290338137,0,0.77,,,,,,,,,
528,535.2197095281731,53,29588,-111.89637651207468,1,0.78,,,,,,,,,
529,-383.91938275752375,19,29607,-114.7358617715174,0,0.78,,,,,,,,,
530,131.18920360293617,33,29640,-110.97028681395899,0,0.78,,,,,,,,,
531,-73.55187469181453,31,29671,-110.90788215116392,0,0.78,,,,,,,,,
532,427.91379605349766,358,30029,-111.79024149922348,3,0.78,,,,,,,,,
533,-15.58653252906582,40,30069,-111.67733217365516,0,0.77,,,,,,,,,
534,-0.4320475553976024,30,30099,-118.37009505326041,0,0.74,,,,,,,,,
535,-100.01,1,30100,-121.48374663341592,0,0.74,,,,,,,,,
536,121.69643215719366,14,30114,-122.55416303682868,1,0.73,,,,,,,,,
537,-100.01,1,30115,-122.55416303682873,0,0.73,,,,,,,,,
538,-100.01,1,30116,-127.41085939537878,0,0.7,,,,,,,,,
539,-267.2887084137527,29,30145,-127.69907332523157,0,0.7,,,,,,,,,
540,-41.994253142684116,27,30172,-124.82063748625454,1,0.71,,,,,,,,,
541,482.6244102449896,122,30294,-125.30425689395535,1,0.69,,,,,,,,,
542,-100.01,1,30295,-127.54607834866283,0,0.67,,,,,,,,,
543,-149.94121832332206,31,30326,-132.73879216134668,0,0.66,,,,,,,,,
544,2.742746879416785,45,30371,-132.1354252849814,0,0.66,,,,,,,,,
545,-23.15442255543543,32,30403,-135.73138173253184,1,0.67,,,,,,,,,
546,312.67473588456386,56,30459,-131.8253600680715,1,0.67,,,,,,,,,
547,987.8128469771136,77,30536,-136.09423692722692,3,0.67,,,,,,,,,
548,-100.01,1,30537,-136.2558080077335,0,0.66,,,,,,,,,
549,95.99051385709087,24,30561,-132.5603277697605,0,0.66,,,,,,,,,
550,-100.01,1,30562,-132.56071807446432,0,0.66,,,,,,,,,
551,-100.01,1,30563,-130.93067883052382,0,0.66,,,,,,,,,
552,308.24569463674084,46,30609,-133.66972788167539,1,0.65,,,,,,,,,
553,24.864108539267093,19,30628,-133.3857549385669,1,0.65,,,,,,,,,
554,-100.01,1,30629,-137.86833697912806,0,0.63,,,,,,,,,
555,281.5594910843178,44,30673,-134.05264206828488,1,0.64,,,,,,,,,
556,220.2206080270089,30,30703,-130.85074610971802,1,0.65,,,,,,,,,
557,926.5924499804769,77,30780,-123.09075820084881,2,0.66,,,,,,,,,
558,-318.32507967341417,18,30798,-125.27390899758296,0,0.66,,,,,,,,,
559,-100.01,1,30799,-126.0049952235648,0,0.66,,,,,,,,,
560,-100.01,1,30800,-126.00499522356478,0,0.66,,,,,,,,,
561,680.8350952474324,96,30896,-118.99029774140196,1,0.67,,,,,,,,,
562,-100.01,1,30897,-126.53403498805348,0,0.65,,,,,,,,,
563,-126.9867355786331,30,30927,-125.27271790156856,0,0.65,,,,,,,,,
564,-100.01,1,30928,-133.96604221731536,0,0.62,,,,,,,,,
565,175.05820255340836,17,30945,-132.53312916046312,1,0.63,,,,,,,,,
566,112.63408509217773,19,30964,-128.79417487876518,1,0.64,,,,,,,,,
567,235.53174281677485,41,31005,-125.0842585770833,1,0.64,,,,,,,,,
568,721.2595252708859,30,31035,-119.9802527949722,3,0.65,,,,,,,,,
569,-8.403364498139155,21,31056,-125.58864104826017,0,0.63,,,,,,,,,
570,-100.01,1,31057,-125.58905946070313,0,0.63,,,,,,,,,
571,-61.947789510434006,24,31081,-131.52953848229333,1,0.62,,,,,,,,,
572,-129.70833612064612,5,31086,-124.6097898063934,0,0.62,,,,,,,,,
573,-235.96574873285658,12,31098,-125.96934729372195,0,0.62,,,,,,,,,
574,529.5363340994392,53,31151,-125.60699565874557,2,0.61,,,,,,,,,
575,-75.69222107967195,9,31160,-125.55512567355431,0,0.6,,,,,,,,,
576,453.6705859092024,51,31211,-120.01872403603485,2,0.62,,,,,,,,,
577,-103.21099526494669,87,31298,-124.44401539436222,1,0.62,,,,,,,,,
578,-251.5471647783811,13,31311,-126.52346372210678,0,0.62,,,,,,,,,
579,-9.122926424649947,22,31333,-125.77919890174363,1,0.62,,,,,,,,,
580,16.354108539267074,16,31349,-124.61555781635096,1,0.63,,,,,,,,,
581,-128.8253579628848,5,31354,-126.67273346858364,0,0.63,,,,,,,,,
582,234.22431060345946,26,31380,-121.65832057945617,1,0.64,,,,,,,,,
583,75.313995995192,17,31397,-117.93662949288337,1,0.65,,,,,,,,,
584,1696.5634913341376,137,31534,-100.18867858826752,5,0.7,,,,,,,,,
585,-100.01,1,31535,-100.28925819296073,0,0.7,,,,,,,,,
586,-100.01,1,31536,-101.16561219265246,0,0.7,,,,,,,,,
587,-100.01,1,31537,-101.16561219265242,0,0.7,,,,,,,,,
588,442.1113912237887,47,31584,-94.23501595052203,3,0.73,,,,,,,,,
589,-100.01,1,31585,-106.00468558959413,0,0.7,,,,,,,,,
590,-65.14623481780924,40,31625,-109.51157589059422,0,0.67,,,,,,,,,
591,-182.78666253459835,26,31651,-110.33934251594017,0,0.67,,,,,,,,,
592,834.0030040357121,55,31706,-102.80270235722543,4,0.7,,,,,,,,,
593,-278.1660906593275,23,31729,-104.5842632638187,0,0.7,,,,,,,,,
594,161.1447907192105,38,31767,-101.97271535662661,1,0.71,,,,,,,,,
595,-100.01,1,31768,-101.97271535662661,0,0.71,,,,,,,,,
596,-63.96453352219482,13,31781,-105.93579257197929,0,0.7,,,,,,,,,
597,-100.01,1,31782,-104.34827958781887,0,0.7,,,,,,,,,
598,1119.434936486894,105,31887,95.13937211430977,3,0.72,,,,,,,,,
599,-155.78198629463623,9,31896,86.51741768037807,0,0.69,,,,,,,,,
600,-144.24632710035183,4,31900,85.51097772941381,0,0.69,,,,,,,,,
601,-104.37963950673091,9,31909,84.69771158984311,0,0.69,,,,,,,,,
602,54.189711703935856,25,31934,75.6335570629394,1,0.66,,,,,,,,,
603,-59.457278446027864,61,31995,72.09019257526614,3,0.67,,,,,,,,,
604,-17.76322112072259,26,32021,69.07162321052289,1,0.67,,,,,,,,,
605,-73.18092103381747,23,32044,67.43557920248774,0,0.64,,,,,,,,,
606,-79.84066052181618,15,32059,67.06674223764911,1,0.65,,,,,,,,,
607,-237.2290645122024,19,32078,60.08463107923844,0,0.63,,,,,,,,,
608,146.8428245525115,33,32111,62.08317981416982,1,0.64,,,,,,,,,
609,-244.84521682701705,16,32127,60.098957733104605,0,0.64,,,,,,,,,
610,429.38876088161965,32,32159,65.96215467337633,2,0.66,,,,,,,,,
611,-100.01,1,32160,65.13643925505541,0,0.66,,,,,,,,,
612,560.3427091996269,43,32203,70.00629733131527,3,0.69,,,,,,,,,
613,-33.878698477645045,32,32235,75.44944525414645,1,0.7,,,,,,,,,
614,769.2345118410066,91,32326,84.00728934681221,2,0.72,,,,,,,,,
615,-92.41803787670304,7,32333,85.6276413938282,0,0.72,,,,,,,,,
616,-75.68777782008402,14,32347,87.36104309336264,0,0.72,,,,,,,,,
617,-114.79528253074061,2,32349,88.45916412176726,0,0.72,,,,,,,,,
618,-100.01,1,32350,89.53312725885127,0,0.72,,,,,,,,,
619,-100.01,1,32351,86.94235730508711,0,0.7,,,,,,,,,
620,1182.3558476942183,161,32512,99.66974612792272,8,0.78,,,,,,,,,
621,-99.96815875570708,2,32514,101.08185469065202,0,0.78,,,,,,,,,
622,-100.01,1,32515,96.50208952928506,0,0.77,,,,,,,,,
623,-100.01,1,32516,91.3699228888102,0,0.76,,,,,,,,,
624,473.7813240808549,99,32615,88.21380203452321,1,0.75,,,,,,,,,
625,335.8351050340968,54,32669,90.77665893496597,1,0.76,,,,,,,,,
626,274.404143044542,59,32728,95.90618277742605,1,0.77,,,,,,,,,
627,69.46462742873696,26,32754,97.13481960889133,0,0.77,,,,,,,,,
628,-100.01,1,32755,90.78252251360958,0,0.76,,,,,,,,,
629,-87.88589656215052,36,32791,93.7428573755633,1,0.77,,,,,,,,,
630,-233.30247452167754,54,32845,90.0979405943172,2,0.79,,,,,,,,,
631,-725.2968002184696,51,32896,83.58049133905062,0,0.79,,,,,,,,,
632,72.70430707355776,28,32924,80.02839644925125,2,0.78,,,,,,,,,
633,1566.0550791585706,389,33313,95.8448125661276,8,0.86,,,,,,,,,
634,-19.636696009120968,27,33340,95.65276608159036,0,0.86,,,,,,,,,
635,629.9492898199381,107,33447,102.95235897978975,1,0.87,,,,,,,,,
636,-216.94301821779482,11,33458,99.56596447603988,0,0.86,,,,,,,,,
637,150.91788554636645,33,33491,102.07524333150356,1,0.87,,,,,,,,,
638,-114.79409311436373,2,33493,101.92740240035991,0,0.87,,,,,,,,,
639,-100.01,1,33494,103.60018948449743,0,0.87,,,,,,,,,
640,651.1026292973119,44,33538,110.53115830889739,2,0.88,,,,,,,,,
641,-100.01,1,33539,104.70481420644748,0,0.87,,,,,,,,,
642,-238.34147634479757,32,33571,103.3214994429995,0,0.87,,,,,,,,,
643,804.2920228850164,74,33645,112.86383185508288,4,0.91,,,,,,,,,
644,760.4043179305005,53,33698,120.44044756559373,4,0.95,,,,,,,,,
645,175.05820255340836,17,33715,122.42257381668217,1,0.95,,,,,,,,,
646,-6.071864794117445,43,33758,119.23510780989537,0,0.94,,,,,,,,,
647,296.9646975720554,31,33789,112.32662631584479,1,0.92,,,,,,,,,
648,425.17757974930055,64,33853,117.5785021133378,1,0.93,,,,,,,,,
649,-100.01,1,33854,115.61849697476687,0,0.93,,,,,,,,,
650,-99.85359601034098,3,33857,115.62006101466348,0,0.93,,,,,,,,,
651,802.2405945615972,68,33925,124.64256696027944,3,0.96,,,,,,,,,
652,-212.69206921749543,9,33934,119.43318932173706,0,0.95,,,,,,,,,
653,533.0282216113914,72,34006,124.51483045245831,2,0.96,,,,,,,,,
654,171.20985175996134,22,34028,127.22702897005794,1,0.97,,,,,,,,,
655,-253.2104521237418,19,34047,121.87932953797734,0,0.96,,,,,,,,,
656,-97.94653701892737,5,34052,118.69765808751798,0,0.95,,,,,,,,,
657,151.69342468605635,38,34090,110.94866783457375,0,0.93,,,,,,,,,
658,-100.01,1,34091,113.13181863130791,0,0.93,,,,,,,,,
659,686.8577021483635,56,34147,121.00049565279153,3,0.96,,,,,,,,,
660,-100.01,1,34148,121.00049565279154,0,0.96,,,,,,,,,
661,357.35093666666467,66,34214,117.76565406698384,1,0.96,,,,,,,,,
662,-86.04360022177552,30,34244,117.90531806476609,1,0.97,,,,,,,,,
663,209.14396720562553,9,34253,121.26662509260868,1,0.98,,,,,,,,,
664,-274.4175478993682,29,34282,119.52254961361501,0,0.98,,,,,,,,,
665,-99.97009115756241,2,34284,116.77226667650531,0,0.97,,,,,,,,,
666,130.34174642816168,46,34330,116.94934328986514,0,0.96,,,,,,,,,
667,-92.9260716602318,8,34338,113.66476514509507,0,0.95,,,,,,,,,
668,-15518.04368085618,1547,35885,-48.7282669161756,0,0.92,,,,,,,,,
669,462.9417869927247,31,35916,-44.01481540126698,2,0.94,,,,,,,,,
670,-100.01,1,35917,-44.01481540126696,0,0.94,,,,,,,,,
671,0.9793098348711737,32,35949,-43.38554440781391,0,0.93,,,,,,,,,
672,-656.3005975593162,59,36008,-48.65146702220059,0,0.93,,,,,,,,,
673,69.46462742873696,26,36034,-45.597163260584686,0,0.93,,,,,,,,,
674,-292.15437074764014,36,36070,-53.81407030905546,0,0.91,,,,,,,,,
675,592.9984980294684,119,36189,-47.127163117964045,4,0.95,,,,,,,,,
676,-100.01,1,36190,-52.66396897705606,0,0.93,,,,,,,,,
677,-39.49838232876312,16,36206,-52.02684284769423,1,0.93,,,,,,,,,
678,-100.01,1,36207,-50.51147119991042,0,0.93,,,,,,,,,
679,-100.01,1,36208,-51.42034193566393,0,0.92,,,,,,,,,
680,-234.34372442083554,24,36232,-53.92732026526493,0,0.91,,,,,,,,,
681,-264.643018747792,25,36257,-55.285496873114035,0,0.91,,,,,,,,,
682,281.31115413544586,30,36287,-54.814628437794156,1,0.91,,,,,,,,,
683,-92.9260716602318,8,36295,-56.497029114348415,0,0.9,,,,,,,,,
684,-71.42854261412283,32,36327,-74.176949453831,0,0.85,,,,,,,,,
685,-100.01,1,36328,-74.17694945383103,0,0.85,,,,,,,,,
686,-100.01,1,36329,-74.17694945383101,0,0.85,,,,,,,,,
687,-58.71710167981005,15,36344,-73.76402047062913,0,0.85,,,,,,,,,
688,-95.06897959300814,22,36366,-79.1358241787971,0,0.82,,,,,,,,,
689,-110.7610155253446,38,36404,-79.24333433405054,0,0.82,,,,,,,,,
690,-100.01,1,36405,-79.59197198587243,0,0.82,,,,,,,,,
691,145.93128800916162,20,36425,-76.30479248043484,2,0.84,,,,,,,,,
692,-100.01,1,36426,-85.64492252079195,0,0.8,,,,,,,,,
693,-250.94823298925536,18,36444,-85.37274394409125,0,0.8,,,,,,,,,
694,74.54359451253696,13,36457,-86.23875590615796,1,0.8,,,,,,,,,
695,284.9969372084111,109,36566,-82.38868653407388,3,0.83,,,,,,,,,
696,351.67975749345413,67,36633,-78.23224362391734,1,0.84,,,,,,,,,
697,157.9080810775278,30,36663,-75.65306281314207,1,0.85,,,,,,,,,
698,172.80127670936935,54,36717,-85.11939941091732,1,0.83,,,,,,,,,
699,-199.92419014636778,19,36736,-85.56082144943464,0,0.83,,,,,,,,,
700,-156.91621567629323,11,36747,-85.68752033519405,0,0.83,,,,,,,,,
701,-31.45204197461392,29,36776,-84.9582443598729,0,0.83,,,,,,,,,
702,-100.01,1,36777,-86.50024147691225,0,0.82,,,,,,,,,
703,693.2048725299398,49,36826,-78.97361996715256,3,0.82,,,,,,,,,
704,-114.79460716602318,2,36828,-79.94393382760559,0,0.81,,,,,,,,,
705,-229.58678825572161,17,36845,-81.50799249982465,0,0.81,,,,,,,,,
706,-99.97092341639919,2,36847,-81.70929512877048,0,0.8,,,,,,,,,
707,-100.01,1,36848,-80.33710448364843,0,0.8,,,,,,,,,
708,-141.45385340862504,7,36855,-83.22007126325981,0,0.79,,,,,,,,,
709,81.12450777468563,64,36919,-79.9603740172428,0,0.79,,,,,,,,,
710,294.11267660726423,120,37039,-81.31313485998633,1,0.78,,,,,,,,,
711,-100.01,1,37040,-81.31313485998632,0,0.78,,,,,,,,,
712,-103.52798084315233,52,37092,-87.95184176041414,0,0.75,,,,,,,,,
713,-99.85433230017702,3,37095,-88.61159809863946,0,0.74,,,,,,,,,
714,2306.730521463747,212,37307,-73.23663800241205,6,0.78,,,,,,,,,
715,-19857.845891702218,2000,39307,-270.8909165406672,0,0.78,,,,,,,,,
716,-100.01,1,39308,-271.13413876246636,0,0.78,,,,,,,,,
717,-100.01,1,39309,-270.9862859371589,0,0.78,,,,,,,,,
718,-100.01,1,39310,-270.9862859371589,0,0.78,,,,,,,,,
719,-99.68424023768159,3,39313,-270.98302833953574,0,0.78,,,,,,,,,
720,-242.48350392112673,20,39333,-285.23142185568923,0,0.7,,,,,,,,,
721,8.842187901039352,14,39347,-284.14331838912176,1,0.71,,,,,,,,,
722,-50.26470012405218,28,39375,-283.6458653903623,1,0.72,,,,,,,,,
723,-99.85433230017702,3,39378,-283.64430871336407,0,0.72,,,,,,,,,
724,338.4657182828453,67,39445,-284.99746477134414,1,0.72,,,,,,,,,
725,-100.01,1,39446,-289.3559158216851,0,0.71,,,,,,,,,
726,303.80057716679784,58,39504,-289.06195148046254,2,0.72,,,,,,,,,
727,1000.3558038576177,89,39593,-279.7530397161737,4,0.76,,,,,,,,,
728,237.3028039272004,75,39668,-276.3799116769017,1,0.77,,,,,,,,,
729,1240.6694183403636,475,40143,-263.09435852787664,9,0.85,,,,,,,,,
730,-100.01,1,40144,-261.7614337826598,0,0.83,,,,,,,,,
731,352.36971170393605,37,40181,-250.98476866343574,3,0.86,,,,,,,,,
732,53.40113574129127,36,40217,-251.17780037675843,2,0.86,,,,,,,,,
733,827.167585574031,130,40347,-258.5666753126038,2,0.8,,,,,,,,,
734,1022.9931615588202,53,40400,-248.14037673692437,4,0.84,,,,,,,,,
735,42.025985152632,19,40419,-254.01960978359742,1,0.84,,,,,,,,,
736,-100.01,1,40420,-252.85027960141946,0,0.84,,,,,,,,,
737,-244.55386071069017,24,40444,-256.8049970639901,0,0.83,,,,,,,,,
738,89.09958646672733,35,40479,-254.76606026817916,0,0.83,,,,,,,,,
739,2460.335817148253,263,40742,-229.16260209669656,6,0.89,,,,,,,,,
740,-114.69127109956865,3,40745,-236.8205411006654,0,0.87,,,,,,,,,
741,301.22048031230554,74,40819,-232.80823629754235,1,0.88,,,,,,,,,
742,102.13198515871575,51,40870,-229.40350168250725,1,0.89,,,,,,,,,
743,-100.01,1,40871,-238.44652191135737,0,0.85,,,,,,,,,
744,-100.01,1,40872,-247.05066509066236,0,0.81,,,,,,,,,
745,723.4227468794156,57,40929,-241.56701964740233,3,0.83,,,,,,,,,
746,-17.10666253459847,23,40952,-241.67736762480712,0,0.83,,,,,,,,,
747,-262.8418005954245,23,40975,-247.27543260648193,0,0.82,,,,,,,,,
748,191.92201756245208,54,41029,-249.60798822835045,1,0.82,,,,,,,,,
749,-107.59651252849923,28,41057,-249.6838533536355,0,0.82,,,,,,,,,
750,-99.96883152979294,2,41059,-249.68500570882995,0,0.82,,,,,,,,,
751,811.3088157586998,94,41153,-249.59432349685892,2,0.81,,,,,,,,,
752,-10.79271169956128,25,41178,-247.57532992167955,1,0.82,,,,,,,,,
753,355.4919858724939,49,41227,-249.35069227906857,2,0.82,,,,,,,,,
754,-242.56402309590572,20,41247,-253.48843102762723,0,0.81,,,,,,,,,
755,84.66563459510549,27,41274,-250.10967016043875,2,0.83,,,,,,,,,
756,-18.214768020502618,36,41310,-249.3123524704545,1,0.84,,,,,,,,,
757,57.7869713751288,29,41339,-250.2514170035638,0,0.84,,,,,,,,,
758,-100.01,1,41340,-250.25141700356377,0,0.84,,,,,,,,,
759,1718.2716004283025,105,41445,-239.93727802076438,7,0.88,,,,,,,,,
760,-38.504954716191236,20,41465,-239.32222756792626,0,0.88,,,,,,,,,
761,65.28236829481916,25,41490,-242.24291325164475,0,0.87,,,,,,,,,
762,379.9559750029442,37,41527,-237.58291749939755,2,0.88,,,,,,,,,
763,-100.01,1,41528,-240.67445717145384,0,0.87,,,,,,,,,
764,5393.3512347060905,1812,43340,-183.99676934539923,14,1.01,,,,,,,,,
765,-100.01,1,43341,-183.99716843382362,0,1.01,,,,,,,,,
766,-307.50453411356256,87,43428,-188.37563123924082,0,1.01,,,,,,,,,
767,-100.01,1,43429,-188.44647052263852,0,1.01,,,,,,,,,
768,93.33845812150203,36,43465,-32.33264913286169,0,1.01,,,,,,,,,
