Episodio,Recompensa_Episodio,Pasos_Episodio,Pasos_Totales,Recompensa_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
150,-185.4814943351434,28,5762,-219.24014348179847,0,0.42,,,,,,,,,
151,-53.050029708366615,12,5774,-218.63433373733366,0,0.42,,,,,,,,,
152,248.3439954763067,31,5805,-215.15079378257062,1,0.43,,,,,,,,,
153,113.80748185790877,61,5866,-213.01470012071303,0,0.43,,,,,,,,,
154,354.07547500986453,22,5888,-208.50330564196256,2,0.45,,,,,,,,,
155,329.7123392659719,36,5924,-204.20608224930285,3,0.48,,,,,,,,,
156,28.071074616947797,20,5944,-202.92733647717642,1,0.49,,,,,,,,,
157,147.66145669627383,79,6023,-200.45151777314157,1,0.5,,,,,,,,,
158,429.51197930623175,33,6056,-195.008449615182,3,0.53,,,,,,,,,
159,-5244.987067242059,536,6592,-246.4591387000455,1,0.54,,,,,,,,,
160,339.79794604548687,42,6634,-242.0610592395906,1,0.55,,,,,,,,,
161,-660.837472695022,48,6682,-247.53745459310244,0,0.55,,,,,,,,,
162,489.83433785482373,111,6793,-241.6424033540993,1,0.56,,,,,,,,,
163,107.29088730754269,36,6829,-239.56939448102383,0,0.56,,,,,,,,,
164,439.5024580934561,116,6945,-234.17426990008934,2,0.58,,,,,,,,,
165,-685.1604449657307,67,7012,-240.04099584444063,0,0.58,,,,,,,,,
166,393.9246045504882,62,7074,-235.10430372727546,2,0.6,,,,,,,,,
167,528.0798283965775,88,7162,-228.68815409504467,1,0.61,,,,,,,,,
168,240.94813083639627,31,7193,-225.27947820038088,0,0.61,,,,,,,,,
169,99.63354948878172,74,7267,-223.28304270549302,0,0.61,,,,,,,,,
170,127.5193028893098,28,7295,-221.0104087454563,1,0.62,,,,,,,,,
171,-493.1236811103604,84,7379,-224.9424509702601,2,0.64,,,,,,,,,
172,98.98242678088077,23,7402,-222.80750773020722,0,0.64,,,,,,,,,
173,-62.28512182525576,32,7434,-222.43025894845977,1,0.65,,,,,,,,,
174,-20.367815553840686,40,7474,-221.34266541611981,1,0.66,,,,,,,,,
175,-1100.045173404624,102,7576,-231.34301715016608,0,0.66,,,,,,,,,
176,-252.29768708668496,21,7597,-232.8667955474148,0,0.66,,,,,,,,,
177,-15.401476113399482,24,7621,-232.02071030854876,0,0.66,,,,,,,,,
178,241.0535453483805,23,7644,-228.46387449581823,1,0.67,,,,,,,,,
179,-236.3186733240728,14,7658,-229.8269612290589,0,0.67,,,,,,,,,
180,259.9730412124381,32,7690,-226.22804887258343,1,0.68,,,,,,,,,
181,-549.5412083791182,93,7783,-230.72427226266015,1,0.69,,,,,,,,,
182,-215.41554850994754,44,7827,-231.8783277477596,1,0.7,,,,,,,,,
183,-213.19545816007462,10,7837,-232.71915990343427,0,0.7,,,,,,,,,
184,58.550602168770965,26,7863,-231.13511792164314,0,0.7,,,,,,,,,
185,-33.387407014747936,34,7897,-230.47088465442422,1,0.71,,,,,,,,,
186,643.3694245490716,78,7975,-223.0397374552426,1,0.72,,,,,,,,,
187,216.59120894894136,30,8005,-219.8911066911885,1,0.73,,,,,,,,,
188,-5392.473347646699,892,8897,-272.8206953707042,4,0.77,,,,,,,,,
189,-198.55050347302242,11,8908,-273.8061004054344,0,0.77,,,,,,,,,
190,158.00940715848776,38,8946,-271.2259063338496,2,0.79,,,,,,,,,
191,-15.36336449813912,18,8964,-270.08825602630355,0,0.79,,,,,,,,,
192,-155.84083515874966,50,9014,-270.646564377891,0,0.79,,,,,,,,,
193,-23.06644054319362,25,9039,-269.8780400896084,0,0.79,,,,,,,,,
194,-247.34187858704382,29,9068,-271.35135887547887,0,0.79,,,,,,,,,
195,-235.5342942106534,24,9092,-272.7086435575317,0,0.79,,,,,,,,,
196,-31.24703272164045,15,9107,-272.0210138847481,1,0.8,,,,,,,,,
197,141.36869393297974,29,9136,-269.61062858433166,0,0.8,,,,,,,,,
198,837.8204042264687,42,9178,-260.1376742339271,2,0.82,,,,,,,,,
199,316.619455277349,26,9204,-255.9713796811536,1,0.83,,,,,,,,,
200,191.1817894386877,41,9245,-253.0594617867667,1,0.84,,,,,,,,,
201,-100.01,1,9246,-253.05946178676666,0,0.84,,,,,,,,,
202,-100.01,1,9247,-253.08174809372758,0,0.84,,,,,,,,,
203,-107.09177314780703,25,9272,-253.1525658252057,1,0.85,,,,,,,,,
204,17.646332203875474,31,9303,-251.55543760526632,0,0.85,,,,,,,,,
205,-401.05973217104565,39,9342,-254.56593492697678,0,0.85,,,,,,,,,
206,-263.35783055581334,23,9365,-256.19941323253494,0,0.85,,,,,,,,,
207,417.9281353987102,27,9392,-251.02268094155625,2,0.87,,,,,,,,,
208,188.7229846000369,21,9413,-247.71645714740814,1,0.88,,,,,,,,,
209,-40.9827993043069,29,9442,-245.20211416348252,1,0.89,,,,,,,,,
210,35.68335917196329,22,9464,-243.84724901162633,0,0.89,,,,,,,,,
211,-100.01,1,9465,-243.28813183605988,0,0.89,,,,,,,,,
212,-53.38975369937744,17,9482,-241.6900336655294,1,0.9,,,,,,,,,
213,-33.31495043206006,15,9497,-242.0689198733854,0,0.89,,,,,,,,,
214,-131.17574373294335,21,9518,-241.40146799927845,0,0.89,,,,,,,,,
215,-106.46300615864854,21,9539,-242.38786792062106,1,0.9,,,,,,,,,
216,48.31783844730542,22,9561,-240.03135449693676,0,0.9,,,,,,,,,
217,-76.17554223547457,11,9572,-213.08909031800977,0,0.9,,,,,,,,,
218,90.4397764273301,23,9595,-203.72985629865656,2,0.9,,,,,,,,,
219,-100.01,1,9596,-175.40304448934756,0,0.84,,,,,,,,,
220,-100.01,1,9597,-172.83909194101153,0,0.83,,,,,,,,,
221,32.40692416956328,20,9617,-181.4474864042092,0,0.8,,,,,,,,,
222,-100.01,1,9618,-171.4056177573396,0,0.78,,,,,,,,,
223,1229.6110234479177,40,9658,-150.009446144278,5,0.81,,,,,,,,,
224,-228.97712657134207,14,9672,-148.18301597068597,0,0.8,,,,,,,,,
225,-241.1857806848608,28,9700,-143.9750632912071,0,0.78,,,,,,,,,
226,-100.01,1,9701,-146.18392675792515,0,0.78,,,,,,,,,
227,557.3610783156528,37,9738,-129.66410176554962,1,0.78,,,,,,,,,
228,16.554108539267077,16,9754,-131.3413381342596,1,0.78,,,,,,,,,
229,-50.911327092937995,32,9786,-133.0232558320415,0,0.77,,,,,,,,,
230,-100.01,1,9787,-136.1095613618235,0,0.76,,,,,,,,,
231,-100.01,1,9788,-133.44380164634111,0,0.76,,,,,,,,,
232,-20.969127223193297,17,9805,-138.27288219037777,0,0.71,,,,,,,,,
233,271.7178935809311,31,9836,-135.99784720218065,1,0.69,,,,,,,,,
234,18.31166969369538,37,9873,-126.9938211215133,0,0.69,,,,,,,,,
235,-142.38455868618237,4,9877,-125.9434798691292,0,0.69,,,,,,,,,
236,138.11340034933932,29,9906,-123.41439304032839,2,0.71,,,,,,,,,
237,-26.97528221069659,41,9947,-123.95873855719763,0,0.71,,,,,,,,,
238,-100.01,1,9948,-123.95873855719765,0,0.71,,,,,,,,,
239,354.7995622967017,38,9986,-121.54296509570408,1,0.7,,,,,,,,,
240,-178.83353560480083,33,10019,-117.47509222560191,0,0.7,,,,,,,,,
241,-66.72046372001583,17,10036,-122.72674199864916,0,0.69,,,,,,,,,
242,-100.01,1,10037,-125.69713458073409,0,0.68,,,,,,,,,
243,-236.07137316529736,18,10055,-127.51775874621121,0,0.68,,,,,,,,,
244,-242.24115767458852,19,10074,-133.13833655280757,0,0.66,,,,,,,,,
245,-8.621745578222189,24,10098,-134.18688235543425,0,0.66,,,,,,,,,
246,-57.81021616575341,36,10134,-134.98672173744708,0,0.66,,,,,,,,,
247,-110.71909608301469,7,10141,-135.85863545156403,0,0.65,,,,,,,,,
248,687.6862821299095,55,10196,-93.62605651536116,3,0.65,,,,,,,,,
249,13.644820773512066,24,10220,-85.45675341885436,0,0.65,,,,,,,,,
250,-154.30514231899457,8,10228,-85.1449898986929,0,0.65,,,,,,,,,
251,192.86652369217137,20,10248,-82.68582436468752,1,0.66,,,,,,,,,
