timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-13T14:23:02,Train_DDQN,0af8df33-6729-4af3-957a-33534972ad53,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,56198.00905212498,0.0263603112857027,4.690613018203721e-07,6.917199999999999,0.0619,3.0,0.1179069213686874,0.0013770502458714,0.032168549417919,0.151452521032478,Spain,ESP,andalusia,,,macOS-15.4.1-arm64-arm-64bit,3.12.10,3.0.1,8,Apple M2,1,Apple M2,-3.5975,37.1757,16.0,process,N,1.0
2025-05-13T22:17:26,Train_PPO,56a85cfe-ea9b-4c48-93c0-77ac707de60a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,28446.419237249997,0.0127776706996867,4.4918380036228427e-07,7.0829,0.3539,3.0,0.0563150327492043,0.0009565171810238,0.0161422432308563,0.0734137931610844,Spain,ESP,andalusia,,,macOS-15.4.1-arm64-arm-64bit,3.12.10,3.0.1,8,Apple M2,1,Apple M2,-3.5975,37.1757,16.0,process,N,1.0
2025-05-14T03:34:18,Train_SAC,5793f4f5-096f-4bfb-b4a8-662282a66cbc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,18991.770898542018,0.0091910879855411,4.839510772661424e-07,7.7221,0.063,3.0,0.0414394312572384,0.0006798655171611,0.0106878734958743,0.0528071702702739,Spain,ESP,andalusia,,,macOS-15.4.1-arm64-arm-64bit,3.12.10,3.0.1,8,Apple M2,1,Apple M2,-3.5975,37.1757,16.0,process,N,1.0
TOTAL,Total_All_Trainings,N/A,N/A,103636.199187917,0.0483290699709305,4.663338712692313e-07,,,,,,,0.27767348446383633,Spain,ESP,andalusia,,,macOS-15.4.1-arm64-arm-64bit,3.12.10,3.0.1,8,Apple M2,1,Apple M2,-3.5975,37.1757,16.0,process,N,1.0
